统计日期,冻结时间,数据源,日期,开赛时间,比赛ID,赛事,比赛,比赛分类,微观板块,国家,赛事层级,盘口,水位分层,倾向意图,阻诱目标侧,理论资金主队占比,理论资金客队占比,实际资金主队占比,实际资金客队占比,资金偏离主队,资金偏离客队,资金过热侧,过热阈值,理论占比依据,实际资金流向,目标侧水位甜头,意图成败,资金流修正方向,资金流修正球队,资金流来源,资金流时间戳,动作,选择方向,投注盘向,投注球队,选中水位,综合胜率,盈亏平衡胜率,通过阈值,同档样本,同档选中胜率,风控状态,仓位系数,下注金额,已结算,结算标签,实际盈亏Unit,实际盈亏金额,赛果,比分来源,即时亚盘,盘口线,上盘方,候选映射方向,反向方向,候选依据,下注建议,未通过/通过原因
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 22:00 北京时间（东8区）,,希腊杯,内斯托 vs AEK雅典,亚盘,欧洲非五大系列,未识别,杯赛,两球半,0.91-1.00,真实示强/阻上,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,正向,正向,上盘,AEK雅典,0.9500,0.5740,0.5128,0.5328,2,,状态B-预警/降半仓,0.5000,20.0000,否,,,,0-2,赛前冻结，待赛果更新,开 0.89/-2.25/0.93 → 即 0.87/-2.5/0.95,两球半,客队,上盘,下盘,亚盘意图候选：真实示强 / 阻上（低证据）。依据：客队上盘，让球加深，上盘水位0.95，下盘水位0.87，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率57.4% >= 阈值53.3%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 22:30 北京时间（东8区）,,希腊杯,马尔科 vs 基菲萨,亚盘,欧洲非五大系列,未识别,杯赛,半球/一球,0.91-1.00,真实示强/阻上,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,正向,正向,上盘,基菲萨,0.9300,0.5740,0.5181,0.5381,8,,状态B-预警/降半仓,0.5000,20.0000,否,,,,2-2,赛前冻结，待赛果更新,开 0.97/-0.25/0.85 → 即 0.89/-0.75/0.93,半球/一球,客队,上盘,下盘,亚盘意图候选：真实示强 / 阻上（低证据）。依据：客队上盘，让球加深，上盘水位0.93，下盘水位0.89，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率57.4% >= 阈值53.8%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 22:30 北京时间（东8区）,,捷丙,布尔诺B队 vs 威瑟汀,亚盘,欧洲非五大系列,未识别,非顶级联赛,球半,0.81-0.90,真实示强/阻上,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,正向,正向,上盘,布尔诺B队,0.9000,0.5740,0.5263,0.5463,4,0.7500,状态B-预警/降半仓,0.5000,20.0000,否,,,,5-0,赛前冻结，待赛果更新,开 0.75/1.25/0.95 → 即 0.9/1.5/0.8,球半,主队,上盘,下盘,亚盘意图候选：真实示强 / 阻上（低证据）。依据：主队上盘，让球加深，上盘水位0.90，下盘水位0.80，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率57.4% >= 阈值54.6%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 22:30 北京时间（东8区）,,捷丙,维特科维斯 vs 乌尼邱夫,亚盘,欧洲非五大系列,未识别,非顶级联赛,平手,0.81-0.90,降温保护/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,下盘,维特科维斯,0.8600,0.6040,0.5376,0.5576,19,0.6920,状态B-预警/降半仓,0.5000,20.0000,否,,,,3-1,赛前冻结，待赛果更新,开 0.92/-0.25/0.78 → 即 0.86/0.0/0.84,平手,客队,上盘,下盘,亚盘意图候选：降温保护 / 诱下（低证据）。依据：客队上盘，让球退盘，上盘水位0.84，下盘水位0.86，欧赔支持上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.4% >= 阈值55.8%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 23:00 北京时间（东8区）,,克亚乙,乔登普罗克 vs 杜布拉瓦,亚盘,欧洲非五大系列,未识别,非顶级联赛,半球/一球,0.71-0.80,诱上/阻下,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,上盘,乔登普罗克,0.7800,0.6070,0.5618,0.5818,25,0.4000,状态B-预警/降半仓,0.5000,20.0000,否,,,,1-1,赛前冻结，待赛果更新,开 0.8/0.5/0.9 → 即 0.78/0.75/0.92,半球/一球,主队,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球加深，上盘水位0.78，下盘水位0.92，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.7% >= 阈值58.2%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 23:00 北京时间（东8区）,,克亚乙,扎达拉洛维 vs 雷迪塞瓦特,亚盘,欧洲非五大系列,未识别,非顶级联赛,平手/半球,0.71-0.80,诱上/阻下,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,上盘,扎达拉洛维,0.7800,0.6070,0.5618,0.5818,33,0.5080,状态B-预警/降半仓,0.5000,20.0000,否,,,,1-0,赛前冻结，待赛果更新,开 0.85/0.25/0.85 → 即 0.78/0.25/0.92,平手/半球,主队,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.78，下盘水位0.92，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.7% >= 阈值58.2%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 23:00 北京时间（东8区）,,女欧罗巴杯,利贝雷茨女足 vs SFK萨拉热窝女足,亚盘,欧洲非五大系列,未识别,杯赛,半球,0.91-1.00,降温保护/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,下盘,SFK萨拉热窝女足,0.9500,0.6040,0.5128,0.5328,13,0.4620,状态B-预警/降半仓,0.5000,20.0000,否,,,,1-1,赛前冻结，待赛果更新,开 0.95/0.75/0.81 → 即 0.81/0.5/0.95,半球,主队,上盘,下盘,亚盘意图候选：降温保护 / 诱下（低证据）。依据：主队上盘，让球退盘，上盘水位0.81，下盘水位0.95，欧赔支持上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.4% >= 阈值53.3%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-2 23:00 北京时间（东8区）,,罗杯,哥利亚 vs FK米耶尔库雷亚丘克,亚盘,欧洲非五大系列,未识别,杯赛,平手,0.81-0.90,降温保护/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,下盘,FK米耶尔库雷亚丘克,0.8100,0.6040,0.5525,0.5725,19,0.6920,状态B-预警/降半仓,0.5000,20.0000,否,,,,0-2,赛前冻结，待赛果更新,开 0.98/0.25/0.72 → 即 0.89/0.0/0.81,平手,主队,上盘,下盘,亚盘意图候选：降温保护 / 诱下（低证据）。依据：主队上盘，让球退盘，上盘水位0.89，下盘水位0.81，欧赔支持上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.4% >= 阈值57.2%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-3 00:00 北京时间（东8区）,,女欧罗巴杯,哈夫纳夫约杜尔女足 vs 利马斯素尔女足,亚盘,欧洲非五大系列,未识别,杯赛,一球,0.71-0.80,诱上/阻下,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,上盘,哈夫纳夫约杜尔女足,0.7200,0.6070,0.5814,0.6014,13,0.7270,状态B-预警/降半仓,0.5000,20.0000,否,,,,0-1,赛前冻结，待赛果更新,开 0.8/0.5/0.96 → 即 0.72/1.0/1.04,一球,主队,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球加深，上盘水位0.72，下盘水位1.04，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.7% >= 阈值60.1%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-3 00:00 北京时间（东8区）,,女欧罗巴杯,罗森博格女足 vs 敖德萨海星女足,亚盘,欧洲非五大系列,未识别,杯赛,两球/两球半,0.81-0.90,诱上/阻下,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,上盘,罗森博格女足,0.8100,0.6070,0.5525,0.5725,1,1.0000,状态B-预警/降半仓,0.5000,20.0000,否,,,,3-0,赛前冻结，待赛果更新,开 0.84/2.25/0.98 → 即 0.81/2.25/0.95,两球/两球半,主队,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.81，下盘水位0.95，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.7% >= 阈值57.2%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-3 00:00 北京时间（东8区）,,意丙杯,布雷西亚 vs 吉安纳,亚盘,欧洲五大系列,意大利,杯赛,一球,0.81-0.90,诱上/阻下,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,上盘,布雷西亚,0.8200,0.5960,0.5495,0.5695,13,0.7270,状态A-正常态,1.0000,25.0000,否,,,,5-2,赛前冻结，待赛果更新,开 0.82/1.0/0.88 → 即 0.82/1.0/0.88,一球,主队,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.82，下盘水位0.88，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,可投,通过：综合胜率59.6% >= 阈值56.9%；风控状态A-正常态
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-3 00:00 北京时间（东8区）,,捷丙,利森B队 vs 哈维瓦,亚盘,欧洲非五大系列,未识别,非顶级联赛,球半/两球,0.81-0.90,诱上/阻下,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,上盘,利森B队,0.8300,0.6070,0.5464,0.5664,9,0.8570,状态B-预警/降半仓,0.5000,20.0000,否,,,,2-0,赛前冻结，待赛果更新,开 0.8/1.75/0.9 → 即 0.83/1.75/0.99,球半/两球,主队,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.83，下盘水位0.99，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.7% >= 阈值56.6%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-3 00:00 北京时间（东8区）,,捷甲,布尔诺 vs 赫拉德茨克拉洛韦,亚盘,欧洲非五大系列,未识别,顶级联赛,平手,1.01-1.10,降温保护/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,下盘,赫拉德茨克拉洛韦,1.0600,0.6040,0.4854,0.5054,19,0.6920,状态B-预警/降半仓,0.5000,20.0000,否,,,,1-0,赛前冻结，待赛果更新,开 1.03/0.25/0.73 → 即 0.82/0.0/1.06,平手,主队,上盘,下盘,亚盘意图候选：降温保护 / 诱下（低证据）。依据：主队上盘，让球退盘，上盘水位0.82，下盘水位1.06，欧赔支持上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.4% >= 阈值50.5%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-3 00:00 北京时间（东8区）,,罗杯,列什蒂竞技 vs 布加勒斯特迪纳摩,亚盘,欧洲非五大系列,未识别,杯赛,两球/两球半,0.91-1.00,降温保护/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,下盘,列什蒂竞技,0.9400,0.6040,0.5155,0.5355,,,状态B-预警/降半仓,0.5000,20.0000,否,,,,1-4,赛前冻结，待赛果更新,开 0.94/-2.5/0.76 → 即 0.94/-2.25/0.88,两球/两球半,客队,上盘,下盘,亚盘意图候选：降温保护 / 诱下（低证据）。依据：客队上盘，让球退盘，上盘水位0.88，下盘水位0.94，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.4% >= 阈值53.5%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-3 00:30 北京时间（东8区）,,欧女杯,国际米兰女足 vs 沃尔夫斯堡女足,亚盘,欧洲非五大系列,未识别,杯赛,半球/一球,0.81-0.90,诱上/阻下,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,上盘,沃尔夫斯堡女足,0.8300,0.6070,0.5464,0.5664,25,0.4000,状态B-预警/降半仓,0.5000,20.0000,否,,,,2-0,赛前冻结，待赛果更新,开 0.94/-0.25/0.76 → 即 0.93/-0.75/0.83,半球/一球,客队,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：客队上盘，让球加深，上盘水位0.83，下盘水位0.93，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.7% >= 阈值56.6%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-3 00:45 北京时间（东8区）,,欧女杯,塞尔维特女足 vs 布拉格斯巴达女足,亚盘,欧洲非五大系列,未识别,杯赛,半球/一球,0.81-0.90,诱上/阻下,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,上盘,塞尔维特女足,0.8300,0.6070,0.5464,0.5664,25,0.4000,状态B-预警/降半仓,0.5000,20.0000,否,,,,3-0,赛前冻结，待赛果更新,开 0.88/0.75/0.82 → 即 0.83/0.75/0.93,半球/一球,主队,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.83，下盘水位0.93，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.7% >= 阈值56.6%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-3 01:00 北京时间（东8区）,,女欧罗巴杯,费耶诺德女足 vs 安德列治女足,亚盘,欧洲非五大系列,未识别,杯赛,平手,0.71-0.80,降温保护/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,下盘,安德列治女足,0.7800,0.6040,0.5618,0.5818,19,0.6920,状态B-预警/降半仓,0.5000,20.0000,否,,,,3-1,赛前冻结，待赛果更新,开 0.96/0.25/0.8 → 即 0.98/0.0/0.78,平手,主队,上盘,下盘,亚盘意图候选：降温保护 / 诱下（低证据）。依据：主队上盘，让球退盘，上盘水位0.98，下盘水位0.78，欧赔支持上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.4% >= 阈值58.2%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-3 01:00 北京时间（东8区）,,瑞典杯,BK奥林匹克 vs 哥德堡,亚盘,欧洲非五大系列,瑞典,杯赛,两球,0.81-0.90,诱上/阻下,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,上盘,哥德堡,0.8400,0.6070,0.5435,0.5635,2,0.5000,状态B-预警/降半仓,0.5000,20.0000,否,,,,0-5,赛前冻结，待赛果更新,开 0.93/-2.0/0.89 → 即 0.98/-2.0/0.84,两球,客队,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：客队上盘，让球基本稳定，上盘水位0.84，下盘水位0.98，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.7% >= 阈值56.3%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-3 01:45 北京时间（东8区）,,俄杯,加里宁格勒巴蒂卡 vs 苏维埃之翼,亚盘,欧洲非五大系列,俄罗斯,杯赛,半球,1.01-1.10,降温保护/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,下盘,苏维埃之翼,1.0300,0.6040,0.4926,0.5126,13,0.4620,状态B-预警/降半仓,0.5000,20.0000,否,,,,0-0,赛前冻结，待赛果更新,开 1.02/0.75/0.8 → 即 0.79/0.5/1.03,半球,主队,上盘,下盘,亚盘意图候选：降温保护 / 诱下（低证据）。依据：主队上盘，让球退盘，上盘水位0.79，下盘水位1.03，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.4% >= 阈值51.3%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-3 02:00 北京时间（东8区）,,欧女杯,旧海弗莱鲁汶女足 vs 索斯诺维茨女足,亚盘,欧洲非五大系列,未识别,杯赛,一球/球半,0.81-0.90,降温保护/诱下,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,下盘,索斯诺维茨女足,0.8700,0.6040,0.5348,0.5548,1,,状态B-预警/降半仓,0.5000,20.0000,否,,,,2-1,赛前冻结，待赛果更新,开 0.85/1.75/0.85 → 即 0.95/1.25/0.87,一球/球半,主队,上盘,下盘,亚盘意图候选：降温保护 / 诱下（低证据）。依据：主队上盘，让球退盘，上盘水位0.95，下盘水位0.87，欧赔支持上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.4% >= 阈值55.5%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-3 02:00 北京时间（东8区）,,欧女杯,皇家马德里女足 vs 阿贾克斯女足,亚盘,欧洲非五大系列,未识别,杯赛,两球半,0.91-1.00,真实示强/阻上,upper,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,正向,正向,上盘,皇家马德里女足,0.9900,0.5740,0.5025,0.5225,2,,状态B-预警/降半仓,0.5000,20.0000,否,,,,2-1,赛前冻结，待赛果更新,开 0.76/2.25/0.94 → 即 0.99/2.5/0.83,两球半,主队,上盘,下盘,亚盘意图候选：真实示强 / 阻上（低证据）。依据：主队上盘，让球加深，上盘水位0.99，下盘水位0.83，欧赔变化不大。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率57.4% >= 阈值52.3%；风控状态B-预警/降半仓
2026-09-02,2026-09-03 07:55:09,D:\codex\outputs\football_odds_trader\backups\bettable_filter_status_independent_20260903_075509\dashboard_index.html,2026-09-02,2026-9-3 02:00 北京时间（东8区）,,比业余,弗莱尼 vs 安海耶,亚盘,欧洲非五大系列,比利时,顶级联赛,平手/半球,0.71-0.80,诱上/阻下,lower,,,,,,,,5pct,欧赔去水+亚盘水位理论占比；未结构化则留空,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,,赛前冻结-待赛后验证,,,PM/必发缺失；Titan007仅作盘口价格流,2026-09-03 07:55:09,反向,反向,上盘,弗莱尼,0.7400,0.6070,0.5747,0.5947,33,0.5080,状态B-预警/降半仓,0.5000,20.0000,否,,,,1-2,赛前冻结，待赛果更新,开 0.76/0.25/0.94 → 即 0.74/0.25/1.08,平手/半球,主队,下盘,上盘,亚盘意图候选：诱上 / 阻下（低证据）。依据：主队上盘，让球基本稳定，上盘水位0.74，下盘水位1.08，欧赔削弱上盘。缺伤停、首发、近5场、H2H、PM/必发资金流；资金流缺口仅作证据折扣，亚盘是否下注由标签/微观EV、水位阈值、同档否决和风控决定。,半仓可投,通过：综合胜率60.7% >= 阈值59.5%；风控状态B-预警/降半仓
