日期,赛事,比赛,模拟ID,赛制阶段,市场框架,模拟盘口/价格,模拟方向,虚拟仓位单位,基本面拉力,盘口倾向,Polymarket/交易所情绪,流动性,模拟目的,是否主单,赛果,模拟盈亏单位,过程评级,错误类型,模型更新,开赛时间,比赛ID,赛事原始,国家,层级,五大地区筛选
2026-08-16,英冠,伯恩利 vs 西汉姆,20260816-ENG2-BUR-WHU-SIM-BTTS,联赛早期/英冠,BTTS,BTTS Yes待核,双方进球Yes,0.25,双方公众认知都有进球点，早轮状态不稳,选边不清，转BTTS,未见合格PM,中,测试英冠早轮强名气对抗BTTS,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260816-ENG2-BUR-WHU-SIM-BTTS,英冠,英格兰,次级,是
2026-08-16,英冠,沃特福德 vs 南安普顿,20260816-ENG2-WAT-SOU-SIM-SOUDNB,联赛早期/英冠,DNB,南安普顿DNB待核,南安普顿DNB,0.25,南安普顿降班品牌拉力强，沃特福德主场有对抗拉力,客队热度不追ML，DNB保护,未见合格PM,中,测试英冠降班队客场保护盘,否,沃特福德2-1南安普顿,-0.25,D,降班客队DNB失败,英冠降班/名气客队不能只用DNB保护，需先看客场压制力和临场价格,,20260816-ENG2-WAT-SOU-SIM-SOUDNB,英冠,英格兰,次级,是
2026-08-16,德乙,比勒费尔德 vs 科特布斯,20260816-GER2-BIE-COT-SIM-BTTS,联赛早期/德乙,BTTS,BTTS Yes待核,双方进球Yes,0.25,德乙早轮攻守校准不足，双方都有进球路径,选边不稳，转BTTS,未见合格PM,中,测试德乙早轮BTTS,否,比勒费尔德3-0科特布斯,-0.25,D,BTTS失败,德乙BTTS不能只凭早轮标签，需客队进攻质量/射门路径确认,,20260816-GER2-BIE-COT-SIM-BTTS,德乙,德国,次级,是
2026-08-16,德乙,汉诺威96 vs 沃尔夫斯堡,20260816-GER2-HAN-WOL-SIM-BTTS,联赛早期/德乙,BTTS,BTTS Yes待核,双方进球Yes,0.25,双方名气和进攻拉力都存在，防线稳定性待验证,不追胜负，BTTS模拟,未见合格PM,中,测试德乙名气队对抗BTTS,否,汉诺威96 0-1 沃尔夫斯堡,-0.25,D,BTTS失败,名气对抗不等于双方进球，需看弱侧是否有真实破门路径,,20260816-GER2-HAN-WOL-SIM-BTTS,德乙,德国,次级,是
2026-08-16,西甲,塞尔塔 vs 奥萨苏纳,20260816-LIGA-CEL-OSA-SIM-U25,联赛早期/西甲,进球盘,U2.5待核,小2.5,0.25,双方拉力偏均衡，西甲中下游早轮谨慎,选边不清，低比分模拟,未见合格PM,中,测试西甲中下游早轮小球,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260816-LIGA-CEL-OSA-SIM-U25,西甲,西班牙,顶级,是
2026-08-16,西甲,西班牙人 vs 莱万特,20260816-LIGA-ESP-LEV-SIM-ESPDNB,联赛早期/西甲,DNB,西班牙人DNB待核,西班牙人DNB,0.25,西班牙人主场拉力略强，升降级附近球队差距不宜放大,主胜不追，DNB保护,未见合格PM,中,测试西甲同档主队保护盘,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260816-LIGA-ESP-LEV-SIM-ESPDNB,西甲,西班牙,顶级,是
2026-08-16,西甲,桑坦德竞技 vs 比利亚雷亚尔,20260816-LIGA-RAC-VIL-SIM-VILDNB,联赛早期/西甲,DNB,比利亚雷亚尔DNB待核,比利亚雷亚尔DNB,0.25,比利亚雷亚尔实力与名气拉力更强，客场早轮仍有波动,不追客胜，DNB保护,未见合格PM,中,测试西甲早轮客强DNB,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260816-LIGA-RAC-VIL-SIM-VILDNB,西甲,西班牙,顶级,是
2026-08-17,意大利杯,Cremonese vs Sampdoria,20260817-COPPA-CRE-SAM-SIM-U25,杯赛早轮/90分钟,进球盘,U2.5待核,小2.5,0.25,双方拉力接近，杯赛早轮轮换和谨慎心态并存,不选边，低比分模拟,PM未确认,中低,测试意杯接近盘小球,否,Cremonese2-0Sampdoria,+0.20,A-,结果对/证据不足,意杯接近盘小球命中但需确认收盘,,20260817-COPPA-CRE-SAM-SIM-U25,意大利杯,意大利,杯赛,是
2026-08-17,意大利杯,Palermo vs Lecce,20260817-COPPA-PAL-LEC-SIM-LECDNB,杯赛早轮/90分钟,DNB,Lecce DNB待核,Lecce DNB,0.25,Lecce级别略强但Palermo主场拉力不弱,杯赛不追客胜，DNB保护,PM无DNB直接表达,中低,测试意杯客队级别优势DNB,否,Palermo2-0Lecce,-0.25,D,杯赛客队级别优势失败,意杯客队级别优势不够，主场动机/轮换权重需提高,,20260817-COPPA-PAL-LEC-SIM-LECDNB,意大利杯,意大利,杯赛,是
2026-08-17,意大利杯,Pisa vs Empoli,20260817-COPPA-PIS-EMP-SIM-EMPDNB,杯赛早轮/90分钟,DNB,Empoli DNB待核,Empoli DNB,0.25,Empoli级别/经验略强，Pisa主场拉力存在,杯赛不追客胜，DNB保护模拟,PM无DNB直接表达,中低,测试意杯客队级别优势保护盘,否,Pisa1-1Empoli,0,B,走水/证据不足,DNB保护避免ML亏损；PM若买EMP ML则为输,,20260817-COPPA-PIS-EMP-SIM-EMPDNB,意大利杯,意大利,杯赛,是
2026-08-17,意大利杯,Sassuolo vs Cesena,20260817-COPPA-SAS-CES-SIM-SASML,杯赛早轮/90分钟,胜平负,Sassuolo ML待核,Sassuolo胜,0.25,Sassuolo级别和阵容拉力较强，Cesena杯赛抵抗但客场压力大,只测ML不追深让,PM未确认,中,测试意杯强主ML风险,否,Sassuolo3-0Cesena,+0.08,A-,结果对/证据不足,意杯强主ML命中但低赔收益薄,,20260817-COPPA-SAS-CES-SIM-SASML,意大利杯,意大利,杯赛,是
2026-08-17,英冠,Cardiff City vs Wrexham,20260817-ENG2-CAR-WRE-SIM-BTTS,联赛早期/英冠,BTTS,BTTS Yes约1.58,双方进球Yes,0.25,Wrexham公众故事拉力强，Cardiff主场反击和定位球路径存在,胜负接近不选边，转BTTS模拟,PM未确认,中,测试英冠故事客队热下BTTS,否,Cardiff City1-1Wrexham,+0.20,A-,结果对/证据不足,故事客队热度下转BTTS命中但赔率偏低需控价,,20260817-ENG2-CAR-WRE-SIM-BTTS,英冠,英格兰,次级,是
2026-08-17,西甲,Deportivo La Coruna vs Elche,20260817-LIGA-DEP-ELC-SIM-U25,联赛早期/西甲,进球盘,U2.5待核,小2.5,0.25,双方拉力有限且早轮风险厌恶较高,不选边，低比分模拟,PM未确认,中低,测试西甲早轮低拉力小球,否,Deportivo La Coruna1-1Elche,+0.20,A-,结果对/证据不足,西甲早轮接近盘小球命中但仍需价格路径,,20260817-LIGA-DEP-ELC-SIM-U25,西甲,西班牙,顶级,是
2026-08-17,西乙,Almeria vs Eldense,20260817-SEG-ALM-ELD-SIM-ALMML,联赛早期/西乙,胜平负,Almeria ML待核,Almeria胜,0.25,Almeria级别和主场拉力较强，Eldense客场承压,只模拟ML，深让不碰,PM未确认,中,测试西乙强主ML风险,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260817-SEG-ALM-ELD-SIM-ALMML,西乙,西班牙,次级,是
2026-08-17,西乙,Sporting Gijon vs Sabadell,20260817-SEG-SPO-SAB-SIM-SPODNB,联赛早期/西乙,DNB,Sporting DNB待核,Sporting Gijon DNB,0.25,Sporting主场拉力略强，Sabadell客场不确定,主胜不追，DNB保护,PM无DNB直接表达,中低,测试西乙早轮主场保护盘,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260817-SEG-SPO-SAB-SIM-SPODNB,西乙,西班牙,次级,是
2026-08-19,西甲,Atletico Madrid vs Malaga,20260819-LIGA-ATM-MAL-SIM-ATMML,联赛早期/西甲,胜平负,Atletico Madrid ML待核,Atletico Madrid胜,0.25,马竞主场和品牌拉力极强，Malaga客场弱势,只取ML不碰深让,PM未确认,中,测试西甲强主ML与深让分离,否,Atletico Madrid2-0Malaga,+0.08,A-,结果对/证据不足,强主ML命中但深让仍未验证,,20260819-LIGA-ATM-MAL-SIM-ATMML,西甲,西班牙,顶级,是
2026-08-20,英甲,Sheffield Wednesday vs Bradford City,20260820-ENG3-SHW-BRA-SIM-U25,联赛早期/英甲,进球盘,U2.5待核,小2.5,0.25,双方早轮谨慎，胜负拉力不清,不选边，小球模拟,PM未确认,中低,测试英甲早轮小球,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260820-ENG3-SHW-BRA-SIM-U25,英甲,英格兰,次次级,是
2026-08-20,西甲,Rayo Vallecano vs Alaves,20260820-LIGA-RAY-ALA-SIM-U25,联赛早期/西甲,进球盘,U2.5待核,小2.5,0.25,双方拉力有限，西甲早轮风险厌恶,不选边，小球模拟,PM未确认,中低,测试西甲早轮低拉力小球,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260820-LIGA-RAY-ALA-SIM-U25,西甲,西班牙,顶级,是
2026-08-21,德国杯,Hansa Rostock vs Stuttgart,20260821-DFB-HAN-STU-SIM-STUML,杯赛早轮/德国杯,胜平负,Stuttgart ML待核,Stuttgart胜,0.25,Stuttgart级别拉力强，客场杯赛轮换需打折,只取ML不追深让,PM未确认,中,测试德国杯强客ML,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260821-DFB-HAN-STU-SIM-STUML,德国杯,德国,杯赛,是
2026-08-21,德国杯,SC Preussen Munster vs Karlsruher SC,20260821-DFB-MUN-KSC-SIM-KSCDNB,杯赛早轮/德国杯,DNB,Karlsruher DNB待核,Karlsruher SC DNB,0.25,KSC级别拉力但客场杯赛风险,不追客胜，DNB保护,PM未确认,中低,测试德国杯级别差保护盘,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260821-DFB-MUN-KSC-SIM-KSCDNB,德国杯,德国,杯赛,是
2026-08-21,德国杯,St. Tonis vs Eintracht Frankfurt,20260821-DFB-TON-FRA-SIM-FRAML,杯赛早轮/德国杯,胜平负,Frankfurt ML待核,Eintracht Frankfurt胜,0.25,Frankfurt级差极强但杯赛轮换不确定,只取ML不追深让,PM未确认,中,测试德国杯强弱级差ML,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260821-DFB-TON-FRA-SIM-FRAML,德国杯,德国,杯赛,是
2026-08-21,德国杯,SV Waldhof Mannheim vs Kaiserslautern,20260821-DFB-WAL-KAI-SIM-KAIDNB,杯赛早轮/德国杯,DNB,Kaiserslautern DNB待核,Kaiserslautern DNB,0.25,Kaiserslautern级别拉力但客场杯赛风险,不追ML，DNB保护,PM未确认,中低,测试德国杯客队保护盘,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260821-DFB-WAL-KAI-SIM-KAIDNB,德国杯,德国,杯赛,是
2026-08-21,英超,Arsenal vs Coventry City,20260821-EPL-ARS-COV-SIM-ARSML,联赛早期/英超,胜平负,Arsenal ML待核,Arsenal胜,0.25,Arsenal强主拉力极强，公众热度也高,只取ML不追深让,PM未确认,中,测试强主低价ML不追深让,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260821-EPL-ARS-COV-SIM-ARSML,英超,英格兰,顶级,是
2026-08-21,法甲,Marseille vs Strasbourg,20260821-LIG1-MAR-STR-SIM-MARML,联赛早期/法甲,胜平负,Marseille ML待核,Marseille胜,0.25,Marseille主场强拉力，Strasbourg反击有尾部,只取ML不追让球,PM未确认,中,测试法甲强主ML,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260821-LIG1-MAR-STR-SIM-MARML,法甲,法国,顶级,是
2026-08-21,西甲,Real Betis vs Real Sociedad,20260821-LIGA-BET-SOC-SIM-U25,联赛早期/西甲,进球盘,U2.5待核,小2.5,0.25,双方拉力接近，西甲早轮谨慎,不选边，小球模拟,PM未确认,中,测试西甲早轮低节奏小球,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260821-LIGA-BET-SOC-SIM-U25,西甲,西班牙,顶级,是
2026-08-21,意乙,Vicenza vs Catanzaro,20260821-SERIEB-VIC-CAT-SIM-U25,联赛早期/意乙,进球盘,U2.5待核,小2.5,0.25,意乙开局谨慎，双方拉力不够强,不选边，小球模拟,PM未确认,中低,测试意乙早期小球,否,赛果未匹配待人工核验,不计,,比分源未匹配/不计胜率,过期待赛已清理；需补充Flashscore/球探历史或人工核验,,20260821-SERIEB-VIC-CAT-SIM-U25,意乙,意大利,次级,是
2026-08-22,德国杯,Erzgebirge Aue vs TSG Hoffenheim,20260822-DFB-AUE-HOF-SIM-HOFDNB,杯赛早轮/德国杯,DNB,Hoffenheim DNB待核,Hoffenheim DNB,0.25,Hoffenheim级别拉力，Aue主场杯赛风险,不追ML，DNB保护,PM未确认,中低,测试德国杯强客DNB,否,Erzgebirge Aue0-1TSG Hoffenheim,不计,,比分已回补/盘口方向无法机械结算,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,20260822-DFB-AUE-HOF-SIM-HOFDNB,德国杯,德国,杯赛,是
2026-08-22,德国杯,Energie Cottbus vs FC Augsburg,20260822-DFB-COT-AUG-SIM-AUGDNB,杯赛早轮/德国杯,DNB,Augsburg DNB待核,Augsburg DNB,0.25,Augsburg级别拉力强但杯赛客场有风险,不追ML，DNB保护,PM未确认,中低,测试德国杯强客DNB,否,Energie Cottbus0-1FC Augsburg,+0.25,B,自动回补-方向赢,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,20260822-DFB-COT-AUG-SIM-AUGDNB,德国杯,德国,杯赛,是
2026-08-22,德国杯,SV Eintracht Trier 05 vs RB Leipzig,20260822-DFB-TRI-RBL-SIM-RBLML,杯赛早轮/德国杯,胜平负,RB Leipzig ML待核,RB Leipzig胜,0.25,RB Leipzig级差极强，深让不追,只取ML模拟,PM未确认,中,测试德国杯强客ML,否,SV Eintracht Trier 050-1RB Leipzig,+0.25,B,自动回补-方向赢,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,20260822-DFB-TRI-RBL-SIM-RBLML,德国杯,德国,杯赛,是
2026-08-22,德国杯,SV Wehen Wiesbaden vs Bayer Leverkusen,20260822-DFB-WEH-LEV-SIM-LEVML,杯赛早轮/德国杯,胜平负,Leverkusen ML待核,Bayer Leverkusen胜,0.25,Leverkusen级别拉力极强，深让不追,只取ML模拟,PM未确认,中,测试德国杯强客ML,否,SV Wehen Wiesbaden0-1Bayer Leverkusen,+0.25,B,自动回补-方向赢,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,20260822-DFB-WEH-LEV-SIM-LEVML,德国杯,德国,杯赛,是
2026-08-22,英超,Brentford vs Tottenham Hotspur,20260822-EPL-BRE-TOT-SIM-BTTS,联赛早期/英超,BTTS,BTTS Yes待核,双方进球Yes,0.25,Tottenham公众拉力强，Brentford主场进球路径,不追客胜，BTTS模拟,PM未确认,中,测试英超名气客队BTTS,否,Brentford0-1Tottenham Hotspur,-0.25,D,自动回补-方向输,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径,,20260822-EPL-BRE-TOT-SIM-BTTS,英超,英格兰,顶级,是
2026-08-22,英超,Everton vs Crystal Palace,20260822-EPL-EVE-CRY-SIM-U25,联赛早期/英超,进球盘,U2.5待核,小2.5,0.25,双方胜负拉力接近，早轮谨慎,不选边，小球模拟,PM未确认,中,测试英超低节奏,否,Everton2-0Crystal Palace,+0.25,B,自动回补-方向赢,历史比分自动回补；来源=https://www.espn.com/soccer/match/_/gameId/401879300；仍需人工复盘盘口路径,,20260822-EPL-EVE-CRY-SIM-U25,英超,英格兰,顶级,是
2026-08-22,英超,Hull City vs Manchester United,20260822-EPL-HUL-MUN-SIM-MUNML,联赛早期/英超,胜平负,Man United ML待核,Manchester United胜,0.25,Man United品牌和级别拉力强，客场不追深让,只取ML模拟,PM未确认,中,测试英超强客ML,否,Hull City2-0Manchester United,+0.25,B,自动回补-方向赢,历史比分自动回补；来源=https://www.espn.com/soccer/match/_/gameId/401879322；仍需人工复盘盘口路径,,20260822-EPL-HUL-MUN-SIM-MUNML,英超,英格兰,顶级,是
