日期,赛事,比赛,市场框架,模拟盘口/价格,模拟方向,赛果,模拟盈亏单位,模型更新
2026-09-03,意杯,巴勒莫 vs 曼托瓦,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,巴勒莫5-2曼托瓦,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,卡塔尔联,赛利亚 vs 阿拉比SC,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,赛利亚0-2阿拉比SC,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,俄杯,莫斯科迪纳摩 vs 格罗兹尼特里克,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,莫斯科迪纳摩3-0格罗兹尼特里克,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,塞浦超杯,奥莫尼亚<font color=#880000>(中)</font> vs 帕福斯,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,奥莫尼亚<font color=#880000>(中)</font>0-1帕福斯,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,沙特联,新未来城体育 vs 塞哈特海湾,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,新未来城体育3-0塞哈特海湾,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,保乙,贝尔罗 vs FC蒙塔纳,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,贝尔罗0-0FC蒙塔纳,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,土甲,布尔萨体育 vs 伊斯坦堡士邦,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,布尔萨体育4-0伊斯坦堡士邦,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,土甲,波德鲁姆士邦 vs 厄洛克士邦,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,波德鲁姆士邦0-0厄洛克士邦,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,瑞典超,米亚尔比 vs 尤尔加登,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,米亚尔比0-2尤尔加登,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,罗杯,蒂米什瓦拉 vs 布加勒斯特快速,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,蒂米什瓦拉0-2布加勒斯特快速,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,丹麦超,哥本哈根 vs 北西兰,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,哥本哈根2-0北西兰,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,乌拉杯,阿尔比恩 vs 普罗格雷索俱乐部,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,阿尔比恩2-1普罗格雷索俱乐部,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,乌拉杯,雷提斯塔 vs 佩莱扎,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,取消/延期（推迟）,不计,历史比分自动回补；来源=Titan007完场页:20260905_122058_Over_20260903.htm；仍需人工复盘盘口路径
2026-09-03,希腊杯,帕纳辛纳科斯 vs 尼基沃罗,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,帕纳辛纳科斯1-0尼基沃罗,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,意丙杯,诺瓦拉 vs 利沃诺,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,诺瓦拉0-0利沃诺,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,沙特联,迪雷禾 vs 卡达西亚,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,迪雷禾0-2卡达西亚,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,乌拉杯,蒙得维的亚河床 vs 乌拉圭民族,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,蒙得维的亚河床2-3乌拉圭民族,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,比甲,安德莱赫特 vs 科特赖克,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,安德莱赫特1-0科特赖克,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,比甲,根特 vs 旧海弗莱鲁汶,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,根特1-0旧海弗莱鲁汶,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,波兰杯,史拉斯科 vs 什切青,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,史拉斯科2-1什切青,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,瑞士超,卢加诺 vs 塞尔维特,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,卢加诺1-0塞尔维特,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,瑞士超,巴塞尔 vs 锡永,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,巴塞尔1-2锡永,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,法丙,鲁昂 vs 瓦朗谢纳,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,鲁昂1-1瓦朗谢纳,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,法甲,图卢兹 vs 里尔,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,图卢兹0-1里尔,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,厄瓜甲,基多天主大学 vs 奥卡斯,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,基多天主大学1-1奥卡斯,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,意丙杯,特伦托 vs 加尔维纳,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,特伦托0-1加尔维纳,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,意杯,卡利亚里 vs 维罗纳,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,卡利亚里1-2维罗纳,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,西甲,皇家社会 vs 塞尔塔,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,皇家社会0-0塞尔塔,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,厄瓜乙,库尼布洛FC vs 圣安东尼奥(ECU),亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,库尼布洛FC4-2圣安东尼奥(ECU),不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,哥伦甲秋,卡利美洲 vs 阿利安萨,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,卡利美洲3-0阿利安萨,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,厄瓜甲,北莱昂内斯 vs 奥伦斯CS,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,北莱昂内斯1-0奥伦斯CS,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,巴拉甲秋,雷科莱塔 vs 波特诺山丘,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,雷科莱塔1-3波特诺山丘,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,乌拉杯,奥瑞多拉巴斯 vs 蒙特维多竞技,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,奥瑞多拉巴斯1-2蒙特维多竞技,不计,历史比分自动回补；来源=Titan007完场页:20260905_122058_Over_20260903.htm；仍需人工复盘盘口路径
2026-09-03,哥伦乙秋,哥杜雷亚 vs 索阿查,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,哥杜雷亚0-2索阿查,不计,历史比分自动回补；来源=Titan007完场页:20260905_122058_Over_20260903.htm；仍需人工复盘盘口路径
2026-09-03,巴西乙,累西腓航海 vs 保地花高SP,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,累西腓航海1-0保地花高SP,不计,历史比分自动回补；来源=Titan007完场页:20260905_122058_Over_20260903.htm；仍需人工复盘盘口路径
2026-09-03,巴西杯,格雷米奥 vs 巴西国际,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,格雷米奥3-1巴西国际,不计,历史比分自动回补；来源=Titan007完场页:20260905_122058_Over_20260903.htm；仍需人工复盘盘口路径
2026-09-03,玻利杯,国民波托斯 vs 皇家托马亚波,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,国民波托斯5-1皇家托马亚波,不计,历史比分自动回补；来源=Titan007完场页:20260905_122058_Over_20260903.htm；仍需人工复盘盘口路径
2026-09-03,加勒比杯,卡瓦立尔 vs 波特莫尔联,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,卡瓦立尔0-2波特莫尔联,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,厄瓜甲,利伯塔德洛哈 vs 埃梅莱克,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,利伯塔德洛哈1-1埃梅莱克,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,哥伦甲秋,佩雷拉 vs 麦德林独立,亚盘意图框架-待EV筛选,已读取亚盘/欧赔/大小球即时快照；亚盘投注由标签历史+微观组合+水位阈值+同档否决+风控漏斗决定,待标签/微观/水位框架筛选,佩雷拉0-3麦德林独立,不计,历史比分自动回补；来源=Titan007快照；仍需人工复盘盘口路径
2026-09-03,中北美杯,墨西哥美洲<font color=#880000>(中)</font> vs 蒙特雷,赛况更新-不新建赛前模拟,已开赛/已完场；本次严格更新不补造赛前模拟,已完场 2-2,2-2,不计,本次更新已重新读取即时盘口；亚盘方向由HTML红框EV漏斗给出；无投注数据时沿用原亚盘EV框架，有Chuqi/必发匹配时按资金流验证矩阵审计
