日期,赛事,比赛分类,比赛,赛果,比分来源,模拟ID,市场框架,即时亚盘,盘口线,盘口档位,上盘方,候选标签,候选依据,候选映射方向,意图水位,意图结算,意图盈亏单位,意图均注盈亏,反向方向,反向水位,反向结算,反向盈亏单位,反向均注盈亏,有真实投注量,Polymarket/交易所情绪,流动性
2026-09-03,意杯,国内杯赛,巴勒莫 vs 曼托瓦,5-2,ledger赛果兜底,20260903-TITAN-3072750-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.82/0.75/1.07,0.75,半球/一球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.82，下盘水位1.07，欧赔变化不大,下盘,1.070,输,-1.0,-1.000,上盘,0.820,赢,+1.0,+0.820,是,"Chuqi必发衍生：理论主64.4%/客35.6%；实际主83.5%/客16.5%；偏离主+19.1pct/客-19.1pct；过热侧=巴勒莫（超过理论占比5pct才算）；总成交18900.0；主14200(75%,价1.68,盈亏-4101)；和1900(10%,价4.4,盈亏12577)；客2800(15%,价6,盈亏-3775)；来源https://live.chuqi.com/football/live-bifa/14857346/",Chuqi必发衍生流动性；最新曲线2026-09-03 17:28:50；最大明细成交1643@2026-09-03 16:27:34；Titan盘口价格流
2026-09-03,沙特联,未知分类,新未来城体育 vs 塞哈特海湾,3-0,ledger赛果兜底,20260903-TITAN-3046968-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.85/0.75/1.03,0.75,半球/一球,主队,诱上/阻下,主队上盘，让球加深，上盘水位0.85，下盘水位1.03，欧赔削弱上盘,下盘,1.030,输,-1.0,-1.000,上盘,0.850,赢,+1.0,+0.850,是,"Chuqi必发衍生：理论主60.3%/客39.7%；实际主96.1%/客3.9%；偏离主+35.8pct/客-35.8pct；过热侧=新未来城体育（超过理论占比5pct才算）；总成交16700.0；主14900(89%,价1.73,盈亏-9836)；和1200(7%,价4.1,盈亏11640)；客600(3%,价5.2,盈亏13813)；来源https://live.chuqi.com/football/live-bifa/14722664/",Chuqi必发衍生流动性；最新曲线2026-09-03 18:09:32；最大明细成交4071@2026-09-03 01:44:39；Titan盘口价格流
2026-09-03,瑞典超,成年联赛T1,米亚尔比 vs 尤尔加登,0-2,ledger赛果兜底,20260903-TITAN-2912184-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.02/-0.75/0.87,-0.75,半球/一球,客队,真实示强/阻上,客队上盘，让球加深，上盘水位0.87，下盘水位1.02，欧赔削弱上盘,上盘,0.870,赢,+1.0,+0.870,下盘,1.020,输,-1.0,-1.000,是,"Chuqi必发衍生：理论主42.5%/客57.5%；实际主17.1%/客82.9%；偏离主-25.4pct/客+25.4pct；过热侧=尤尔加登（超过理论占比5pct才算）；总成交48400.0；主7600(16%,价4.9,盈亏14616)；和4000(8%,价4.4,盈亏27840)；客36800(76%,价1.75,盈亏-16183)；来源https://live.chuqi.com/football/live-bifa/13922574/",Chuqi必发衍生流动性；最新曲线2026-09-03 18:03:38；最大明细成交6730@2026-09-03 15:07:53；Titan盘口价格流
2026-09-03,罗杯,国内杯赛,蒂米什瓦拉 vs 布加勒斯特快速,0-2,ledger赛果兜底,20260903-TITAN-3074121-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.13/-0.5/0.7,-0.5,半球,客队,真实示弱/阻下,客队上盘，让球退盘，上盘水位0.70，下盘水位1.13，欧赔削弱上盘,下盘,1.130,输,-1.0,-1.000,上盘,0.700,赢,+1.0,+0.700,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,丹麦超,成年联赛T1,哥本哈根 vs 北西兰,2-0,ledger赛果兜底,20260903-TITAN-2998217-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.88/0.25/1.01,0.25,平手/半球,主队,降温保护/诱下,主队上盘，让球退盘，上盘水位0.88，下盘水位1.01，欧赔支持上盘,上盘,0.880,赢,+1.0,+0.880,下盘,1.010,输,-1.0,-1.000,是,"Chuqi必发衍生：理论主58.4%/客41.6%；实际主67.5%/客32.5%；偏离主+9.2pct/客-9.2pct；过热侧=哥本哈根（超过理论占比5pct才算）；总成交61600.0；主31400(51%,价2.2,盈亏-7315)；和15100(25%,价4.1,盈亏-6114)；客15100(24%,价3.3,盈亏15654)；来源https://live.chuqi.com/football/live-bifa/14572732/",Chuqi必发衍生流动性；最新曲线2026-09-03 17:57:50；最大明细成交7190@2026-09-03 17:38:46；Titan盘口价格流
2026-09-03,乌拉杯,国内杯赛,阿尔比恩 vs 普罗格雷索俱乐部,2-1,ledger赛果兜底,20260903-TITAN-3071657-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.96/0.25/0.8,0.25,平手/半球,主队,诱下/上盘降温,主队上盘，让球基本稳定，上盘水位0.96，下盘水位0.80，欧赔变化不大,上盘,0.960,赢,+1.0,+0.960,下盘,0.800,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,沙特联,未知分类,迪雷禾 vs 卡达西亚,0-2,ledger赛果兜底,20260903-TITAN-3046969-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.08/-1.0/0.8,-1,一球,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.80，下盘水位1.08，欧赔变化不大,下盘,1.080,输,-1.0,-1.000,上盘,0.800,赢,+1.0,+0.800,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,乌拉杯,国内杯赛,蒙得维的亚河床 vs 乌拉圭民族,2-3,ledger赛果兜底,20260903-TITAN-3071656-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.83/-0.5/0.93,-0.5,半球,客队,诱下/上盘降温,客队上盘，让球基本稳定，上盘水位0.93，下盘水位0.83，欧赔支持上盘,上盘,0.930,赢,+1.0,+0.930,下盘,0.830,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,比甲,成年联赛T1,安德莱赫特 vs 科特赖克,1-0,ledger赛果兜底,20260903-TITAN-3003544-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.99/1.25/0.9,1.25,一球/球半,主队,真实示强/阻上,主队上盘，让球加深，上盘水位0.99，下盘水位0.90，欧赔削弱上盘,上盘,0.990,输半,-0.5,-0.500,下盘,0.900,赢半,+0.5,+0.450,是,"Chuqi必发衍生：理论主63.4%/客36.6%；实际主95.2%/客4.8%；偏离主+31.8pct/客-31.8pct；过热侧=安德莱赫特（超过理论占比5pct才算）；总成交55600.0；主49800(90%,价1.49,盈亏-18657)；和3300(6%,价5.2,盈亏37365)；客2500(5%,价7.6,盈亏37546)；来源https://live.chuqi.com/football/live-bifa/14587329/",Chuqi必发衍生流动性；最新曲线2026-09-03 18:21:18；最大明细成交4106@2026-09-03 14:22:37；Titan盘口价格流
2026-09-03,瑞士超,成年联赛T1,卢加诺 vs 塞尔维特,1-0,ledger赛果兜底,20260903-TITAN-3000808-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.96/0.5/0.93,0.5,半球,主队,真实示强/阻上,主队上盘，让球加深，上盘水位0.96，下盘水位0.93，欧赔削弱上盘,上盘,0.960,赢,+1.0,+0.960,下盘,0.930,输,-1.0,-1.000,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,瑞士超,成年联赛T1,巴塞尔 vs 锡永,1-2,ledger赛果兜底,20260903-TITAN-3000807-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.09/0.0/0.8,0,平手,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.80，下盘水位1.09，欧赔变化不大,下盘,1.090,输,-1.0,-1.000,上盘,0.800,赢,+1.0,+0.800,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,法甲,成年联赛T1,图卢兹 vs 里尔,0-1,ledger赛果兜底,20260903-TITAN-2995333-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.87/-0.5/1.02,-0.5,半球,客队,阻上/诱下,客队上盘，让球加深，上盘水位1.02，下盘水位0.87，欧赔削弱上盘,上盘,1.020,赢,+1.0,+1.020,下盘,0.870,输,-1.0,-1.000,是,"Chuqi必发衍生：理论主46.0%/客54.0%；实际主19.5%/客80.5%；偏离主-26.5pct/客+26.5pct；过热侧=里尔（超过理论占比5pct才算）；总成交630900.0；主92300(15%,价4.2,盈亏255183)；和158000(25%,价3.65,盈亏123561)；客380600(60%,价2.04,盈亏-216778)；来源https://live.chuqi.com/football/live-bifa/14561980/",Chuqi必发衍生流动性；最新曲线2026-09-03 18:21:37；最大明细成交38867@2026-09-03 05:02:57；Titan盘口价格流
2026-09-03,哥伦甲秋,成年联赛T1,卡利美洲 vs 阿利安萨,3-0,ledger赛果兜底,20260903-TITAN-3011837-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.82/1.25/1.06,1.25,一球/球半,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.82，下盘水位1.06，欧赔削弱上盘,下盘,1.060,输,-1.0,-1.000,上盘,0.820,赢,+1.0,+0.820,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,厄瓜甲,成年联赛T1,北莱昂内斯 vs 奥伦斯CS,1-0,ledger赛果兜底,20260903-TITAN-2937912-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.7/0.25/1.21,0.25,平手/半球,主队,诱上/阻下,主队上盘，让球基本稳定，上盘水位0.70，下盘水位1.21，欧赔削弱上盘,下盘,1.210,输,-1.0,-1.000,上盘,0.700,赢,+1.0,+0.700,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,乌拉杯,国内杯赛,奥瑞多拉巴斯 vs 蒙特维多竞技,1-2,ledger赛果兜底,20260903-TITAN-3071651-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,0.99/-0.5/0.77,-0.5,半球,客队,诱上/阻下,客队上盘，让球基本稳定，上盘水位0.77，下盘水位0.99，欧赔变化不大,下盘,0.990,输,-1.0,-1.000,上盘,0.770,赢,+1.0,+0.770,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,巴西杯,国内杯赛,格雷米奥 vs 巴西国际,3-1,ledger赛果兜底,20260903-TITAN-3062796-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.09/0.25/0.8,0.25,平手/半球,主队,阻上/诱下,主队上盘，让球加深，上盘水位1.09，下盘水位0.80，欧赔变化不大,上盘,1.090,赢,+1.0,+1.090,下盘,0.800,输,-1.0,-1.000,是,"Chuqi必发衍生：理论主50.2%/客49.8%；实际主60.0%/客40.0%；偏离主+9.8pct/客-9.8pct；过热侧=格雷米奥（超过理论占比5pct才算）；总成交20900.0；主7200(35%,价2.6,盈亏2045)；和8900(43%,价2.94,盈亏-7984)；客4800(23%,价3.6,盈亏6617)；来源https://live.chuqi.com/football/live-bifa/14825759/",Chuqi必发衍生流动性；最新曲线2026-09-03 17:57:10；最大明细成交966@2026-09-03 04:39:30；Titan盘口价格流
2026-09-03,加勒比杯,国内杯赛,卡瓦立尔 vs 波特莫尔联,0-2,ledger赛果兜底,20260903-TITAN-3049967-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.0/0.25/0.76,0.25,平手/半球,主队,诱下/上盘降温,主队上盘，让球基本稳定，上盘水位1.00，下盘水位0.76，欧赔变化不大,上盘,1.000,输,-1.0,-1.000,下盘,0.760,赢,+1.0,+0.760,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,厄瓜甲,成年联赛T1,利伯塔德洛哈 vs 埃梅莱克,1-1,ledger赛果兜底,20260903-TITAN-2937914-亚盘意图框架-待EV筛选,亚盘意图框架-待EV筛选,1.0/0.25/0.88,0.25,平手/半球,主队,阻上/诱下,主队上盘，让球加深，上盘水位1.00，下盘水位0.88，欧赔削弱上盘,上盘,1.000,输半,-0.5,-0.500,下盘,0.880,赢半,+0.5,+0.440,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
2026-09-03,中北美杯,国家队正式赛,墨西哥美洲<font color=#880000>(中)</font> vs 蒙特雷,2-2,Titan007完场快照:20260904_074355_titan007_odds_snapshot.csv,20260903-TITAN-3073013-赛况更新-不新建赛前模拟,赛况更新-不新建赛前模拟,0.85/0.25/1.04,0.25,平手/半球,主队,阻下/下盘保护,主队上盘，让球基本稳定，上盘水位0.85，下盘水位1.04，欧赔变化不大,下盘,1.040,赢半,+0.5,+0.520,上盘,0.850,输半,-0.5,-0.500,否,资金流未验证：沿用亚盘EV框架（无PM/必发匹配）,Titan价格流；PM/必发/BTTS未匹配；资金流未验证不改变亚盘EV流程
